X=-3.207 Y=23.463 Z=145.586
X=-1.255 Y=23.039 Z=146.279
X=1.858 Y=22.900 Z=146.324
X=3.267 Y=23.666 Z=145.943
X=2.919 Y=25.903 Z=146.069
X=2.159 Y=29.005 Z=146.963
X=2.215 Y=30.809 Z=146.843
X=3.751 Y=33.038 Z=146.078
X=5.754 Y=34.535 Z=144.887
X=5.479 Y=34.267 Z=144.928
X=2.716 Y=32.032 Z=146.300
X=-1.561 Y=27.588 Z=147.733
X=-5.995 Y=22.690 Z=148.844
X=-9.686 Y=18.097 Z=149.397
X=-11.930 Y=14.883 Z=150.083
X=-12.550 Y=14.235 Z=151.454
X=-12.580 Y=15.475 Z=154.685
X=-13.339 Y=17.816 Z=157.304
X=-14.546 Y=20.567 Z=158.624
X=-15.502 Y=22.406 Z=158.930
X=-16.740 Y=22.237 Z=158.666
X=-17.014 Y=21.523 Z=158.714
X=-16.974 Y=20.755 Z=158.778
X=-16.643 Y=18.913 Z=158.205
X=-15.673 Y=15.081 Z=156.021
X=-17.062 Y=12.849 Z=153.542
X=-22.042 Y=12.252 Z=151.934
X=-30.785 Y=13.863 Z=149.697
X=-41.486 Y=16.904 Z=149.848
X=-48.618 Y=18.053 Z=152.667
X=-53.593 Y=18.200 Z=153.534
X=-56.831 Y=16.572 Z=154.023
X=-59.560 Y=14.019 Z=154.516
X=-62.006 Y=10.883 Z=154.778
X=-63.950 Y=9.928 Z=154.511
X=-64.740 Y=10.073 Z=154.487
X=-65.227 Y=9.960 Z=155.109
X=-65.226 Y=9.863 Z=156.346
X=-65.199 Y=10.121 Z=157.422
X=-65.324 Y=10.533 Z=158.311
X=-65.543 Y=11.172 Z=158.887
X=-65.645 Y=12.200 Z=159.240
X=-65.784 Y=13.031 Z=159.431
X=-65.748 Y=13.748 Z=159.495
X=-64.976 Y=14.266 Z=159.267
X=-63.026 Y=13.638 Z=158.522
X=-59.389 Y=10.361 Z=157.072
X=-53.255 Y=3.343 Z=155.403
X=-44.541 Y=-7.942 Z=155.505
X=-37.561 Y=-17.367 Z=156.624
X=-31.880 Y=-22.119 Z=157.109
X=-28.844 Y=-20.956 Z=155.861
X=-27.602 Y=-17.302 Z=155.402
X=-27.479 Y=-14.590 Z=155.021
X=-27.486 Y=-13.631 Z=154.458
X=-27.154 Y=-14.069 Z=153.697
X=-25.697 Y=-14.868 Z=152.935
X=-23.158 Y=-16.184 Z=151.659
X=-18.715 Y=-16.595 Z=150.513
X=-12.678 Y=-15.976 Z=149.134
X=-6.200 Y=-14.278 Z=148.725
X=-2.378 Y=-13.626 Z=148.846
X=-0.449 Y=-14.884 Z=148.955
X=1.528 Y=-17.567 Z=149.088
X=4.600 Y=-19.969 Z=148.383
X=6.790 Y=-21.147 Z=147.957
X=8.230 Y=-21.675 Z=147.530
X=8.441 Y=-21.655 Z=147.330
X=6.397 Y=-20.822 Z=148.237
X=3.053 Y=-19.766 Z=149.647
X=1.205 Y=-17.819 Z=150.857
X=0.705 Y=-16.307 Z=150.860
X=-1.399 Y=-16.762 Z=150.793
X=-3.303 Y=-19.850 Z=151.634
X=-5.721 Y=-23.148 Z=154.881
X=-8.898 Y=-24.803 Z=158.372
X=-11.809 Y=-24.384 Z=159.874
X=-13.295 Y=-23.544 Z=160.776
X=-13.401 Y=-22.710 Z=161.378
X=-13.407 Y=-22.175 Z=161.333
X=-13.414 Y=-21.740 Z=161.320
X=-13.405 Y=-21.430 Z=161.359
X=-13.508 Y=-21.210 Z=161.371
X=-13.138 Y=-21.194 Z=161.224
X=-12.321 Y=-21.745 Z=161.045
X=-11.604 Y=-23.127 Z=160.655
X=-11.354 Y=-24.221 Z=160.198
X=-11.630 Y=-25.388 Z=159.907
X=-11.037 Y=-26.647 Z=158.381
X=-10.768 Y=-27.634 Z=157.801
X=-10.719 Y=-27.803 Z=158.486
X=-10.969 Y=-26.870 Z=159.134
X=-11.238 Y=-24.618 Z=159.802
X=-11.148 Y=-21.818 Z=160.254
X=-10.792 Y=-19.206 Z=160.501
X=-10.217 Y=-16.880 Z=160.501
X=-10.892 Y=-16.597 Z=160.391
X=-11.992 Y=-18.050 Z=160.556
X=-12.848 Y=-20.387 Z=160.659
X=-13.592 Y=-23.611 Z=160.315
X=-13.047 Y=-26.415 Z=158.104
X=-14.759 Y=-27.078 Z=155.707
X=-21.398 Y=-25.163 Z=153.806
X=-31.062 Y=-20.935 Z=151.707
X=-40.829 Y=-17.774 Z=153.084
X=-47.807 Y=-15.969 Z=155.738
X=-51.106 Y=-15.975 Z=156.236
X=-53.399 Y=-20.136 Z=155.849
X=-56.025 Y=-24.826 Z=156.253
X=-58.211 Y=-28.165 Z=156.267
X=-59.322 Y=-29.768 Z=156.741
X=-59.881 Y=-30.051 Z=157.030
X=-59.252 Y=-30.053 Z=156.937
X=-57.003 Y=-30.747 Z=156.837
X=-52.298 Y=-34.061 Z=155.866
X=-44.684 Y=-41.452 Z=154.535
X=-35.728 Y=-51.322 Z=155.316
X=-27.914 Y=-57.259 Z=156.208
X=-22.371 Y=-57.145 Z=155.110
X=-19.732 Y=-53.497 Z=153.711
X=-17.853 Y=-49.842 Z=153.309
X=-16.665 Y=-47.960 Z=152.654
X=-16.175 Y=-46.618 Z=152.780
X=-15.492 Y=-44.010 Z=152.787
X=-13.144 Y=-38.931 Z=152.345
X=-8.864 Y=-31.030 Z=151.958
X=-4.119 Y=-22.788 Z=152.564
X=-0.573 Y=-17.907 Z=152.608
X=1.699 Y=-16.533 Z=152.870
X=2.792 Y=-17.531 Z=152.465
X=2.780 Y=-18.372 Z=152.452
X=2.512 Y=-18.297 Z=152.587
X=2.277 Y=-17.384 Z=152.617
X=2.164 Y=-16.717 Z=152.608
X=1.824 Y=-16.838 Z=154.670
X=0.074 Y=-19.148 Z=158.226
X=-2.697 Y=-20.632 Z=159.973
X=-4.353 Y=-22.379 Z=160.886
X=-5.138 Y=-23.510 Z=161.264
X=-3.937 Y=-23.125 Z=159.994
X=-0.167 Y=-20.006 Z=155.296
X=2.758 Y=-17.885 Z=152.850
X=4.633 Y=-16.213 Z=151.765
X=6.194 Y=-15.177 Z=150.970
X=6.589 Y=-15.015 Z=150.740
X=5.387 Y=-14.974 Z=151.088
X=3.207 Y=-14.666 Z=151.577
X=0.596 Y=-16.485 Z=152.359
X=-1.136 Y=-19.593 Z=154.107
X=-1.775 Y=-24.125 Z=157.517
X=-4.611 Y=-28.415 Z=159.993
X=-6.355 Y=-29.586 Z=160.807
X=-6.969 Y=-30.098 Z=161.287
X=-6.737 Y=-30.265 Z=161.386
X=-6.537 Y=-30.135 Z=161.236
X=-6.229 Y=-29.886 Z=160.907
X=-6.488 Y=-29.643 Z=160.524
X=-6.773 Y=-29.546 Z=160.080
X=-7.171 Y=-29.361 Z=159.736
X=-7.938 Y=-29.104 Z=159.833
X=-8.463 Y=-28.922 Z=160.152
X=-8.674 Y=-28.959 Z=160.207
X=-8.258 Y=-29.172 Z=158.453
X=-7.902 Y=-29.836 Z=156.187
X=-12.318 Y=-29.833 Z=154.245
X=-20.225 Y=-29.771 Z=153.285
X=-31.241 Y=-28.912 Z=152.775
X=-40.690 Y=-28.904 Z=154.953
X=-46.757 Y=-28.842 Z=156.066
X=-49.655 Y=-28.175 Z=156.664
X=-51.432 Y=-28.151 Z=157.591
X=-52.231 Y=-28.005 Z=158.558
X=-52.739 Y=-27.570 Z=159.354
X=-53.225 Y=-26.920 Z=159.757
X=-52.666 Y=-27.222 Z=160.659
X=-51.816 Y=-28.322 Z=160.719
X=-50.524 Y=-29.513 Z=160.360
X=-49.960 Y=-30.222 Z=160.135
X=-49.385 Y=-30.181 Z=159.884
X=-47.474 Y=-27.418 Z=159.003
X=-43.764 Y=-19.148 Z=157.834
X=-39.355 Y=-6.369 Z=156.337
X=-34.516 Y=7.926 Z=158.547
X=-30.116 Y=18.893 Z=159.477
X=-26.447 Y=23.496 Z=158.675
X=-21.784 Y=22.994 Z=156.786
X=-18.479 Y=21.380 Z=155.288
X=-16.149 Y=20.558 Z=154.035
X=-13.902 Y=20.712 Z=153.144
X=-11.997 Y=21.070 Z=152.480
X=-9.406 Y=19.874 Z=151.958
X=-5.864 Y=16.609 Z=151.223
X=-2.589 Y=14.080 Z=150.613
X=-0.257 Y=14.234 Z=150.744
X=1.128 Y=16.688 Z=149.633
X=2.302 Y=18.612 Z=149.224
X=3.135 Y=19.474 Z=149.020
X=3.904 Y=19.114 Z=149.013
X=4.857 Y=17.812 Z=149.048
X=6.250 Y=16.216 Z=149.150
X=7.554 Y=14.526 Z=149.186
X=8.635 Y=12.403 Z=148.956
X=9.656 Y=10.573 Z=148.819
X=10.707 Y=8.807 Z=148.439
X=11.105 Y=7.124 Z=148.198
X=10.859 Y=6.108 Z=147.892
X=10.563 Y=5.674 Z=147.961
X=9.986 Y=5.410 Z=148.136
X=9.548 Y=5.426 Z=148.173
X=9.303 Y=5.521 Z=148.196
X=9.106 Y=5.674 Z=148.162
X=9.145 Y=5.825 Z=147.899
X=9.552 Y=6.219 Z=147.663
X=10.006 Y=7.326 Z=147.532
X=10.780 Y=9.489 Z=147.787
X=13.146 Y=14.497 Z=148.407
X=16.703 Y=21.053 Z=147.897
X=18.852 Y=24.656 Z=146.950
X=18.619 Y=25.450 Z=146.679
X=15.843 Y=24.685 Z=147.276
X=12.885 Y=22.125 Z=147.808
X=10.528 Y=18.132 Z=148.130
X=8.888 Y=15.467 Z=148.745
X=7.468 Y=15.175 Z=148.646
X=6.733 Y=15.799 Z=148.394
X=6.453 Y=17.189 Z=148.234
X=6.475 Y=19.410 Z=148.098
X=6.210 Y=20.776 Z=146.852
X=6.402 Y=21.063 Z=146.207
X=6.035 Y=19.849 Z=146.533
X=5.763 Y=18.045 Z=147.299
X=5.792 Y=17.016 Z=147.503
X=5.877 Y=17.145 Z=147.292
X=6.197 Y=18.460 Z=147.121
X=6.039 Y=19.288 Z=147.307
X=5.097 Y=18.095 Z=147.679
X=4.261 Y=16.086 Z=147.537
X=3.290 Y=15.739 Z=147.270
X=1.900 Y=15.091 Z=146.869
X=0.816 Y=14.443 Z=146.871
X=0.311 Y=13.743 Z=146.596
X=0.117 Y=12.652 Z=146.627
X=-0.241 Y=11.563 Z=146.812
X=-0.163 Y=11.213 Z=147.027
X=0.209 Y=11.183 Z=147.513
X=0.609 Y=10.209 Z=148.360
X=0.219 Y=8.300 Z=148.454
X=-4.905 Y=7.750 Z=148.389
X=-13.441 Y=8.567 Z=148.106
X=-25.021 Y=11.193 Z=148.275
X=-35.327 Y=12.394 Z=151.191
X=-42.681 Y=12.289 Z=153.384
X=-46.948 Y=10.384 Z=153.874
X=-49.477 Y=7.948 Z=154.294
X=-51.029 Y=6.838 Z=154.540
X=-53.211 Y=3.373 Z=155.261
X=-56.016 Y=1.929 Z=155.822
X=-57.670 Y=2.040 Z=157.168
X=-58.238 Y=2.366 Z=158.159
X=-58.625 Y=3.007 Z=158.656
X=-58.604 Y=3.842 Z=158.851
X=-57.607 Y=3.636 Z=158.607
X=-54.860 Y=-0.629 Z=158.100
X=-50.174 Y=-9.803 Z=156.778
X=-44.334 Y=-23.259 Z=156.435
X=-38.992 Y=-33.462 Z=157.800
X=-35.306 Y=-39.322 Z=158.105
X=-31.655 Y=-40.438 Z=157.095
X=-26.657 Y=-38.131 Z=155.813
X=-23.346 Y=-33.303 Z=153.862
X=-22.053 Y=-28.767 Z=152.766
X=-21.642 Y=-26.297 Z=151.808
X=-20.417 Y=-23.924 Z=150.784
X=-16.629 Y=-19.598 Z=150.237
X=-9.734 Y=-12.864 Z=149.241
X=-1.437 Y=-5.975 Z=148.640
X=4.630 Y=-1.819 Z=148.381
X=7.995 Y=-0.784 Z=147.568
X=8.910 Y=-1.563 Z=147.291
X=8.829 Y=-2.894 Z=147.196
X=8.178 Y=-3.016 Z=147.159
X=7.316 Y=-2.923 Z=147.364
X=6.564 Y=-2.750 Z=147.543
X=6.033 Y=-3.389 Z=147.808
X=5.604 Y=-4.096 Z=148.299
X=5.497 Y=-5.133 Z=148.521
