X=11.576 Y=22.238 Z=151.085
X=11.649 Y=21.059 Z=151.046
X=11.783 Y=18.826 Z=150.642
X=11.836 Y=17.724 Z=150.299
X=11.840 Y=17.504 Z=150.270
X=11.321 Y=18.169 Z=150.320
X=10.602 Y=18.547 Z=150.540
X=10.571 Y=18.142 Z=151.051
X=10.890 Y=16.504 Z=151.863
X=10.623 Y=12.361 Z=153.795
X=7.242 Y=9.427 Z=155.952
X=4.627 Y=10.635 Z=157.044
X=3.934 Y=11.066 Z=157.195
X=4.715 Y=7.853 Z=157.239
X=6.990 Y=-1.903 Z=156.004
X=10.025 Y=-15.792 Z=155.466
X=12.855 Y=-26.673 Z=156.528
X=16.865 Y=-29.878 Z=154.572
X=20.533 Y=-25.776 Z=152.690
X=21.537 Y=-21.130 Z=151.614
X=21.265 Y=-17.415 Z=151.044
X=20.215 Y=-13.744 Z=150.308
X=17.728 Y=-7.145 Z=149.256
X=15.559 Y=1.143 Z=148.690
X=14.411 Y=8.141 Z=148.644
X=14.672 Y=11.500 Z=148.618
X=15.470 Y=12.016 Z=148.982
X=16.219 Y=11.859 Z=148.826
X=16.417 Y=11.186 Z=148.882
X=16.594 Y=8.864 Z=148.768
X=16.571 Y=5.963 Z=148.299
X=15.550 Y=4.144 Z=147.757
X=11.712 Y=0.449 Z=147.914
X=8.480 Y=-4.769 Z=148.276
X=6.450 Y=-8.177 Z=148.250
X=5.564 Y=-8.011 Z=148.826
X=5.472 Y=-5.148 Z=149.597
X=5.767 Y=-1.190 Z=150.167
X=6.094 Y=2.607 Z=150.505
X=6.329 Y=5.764 Z=150.493
X=6.708 Y=7.525 Z=150.343
X=6.870 Y=8.251 Z=150.107
X=6.818 Y=9.336 Z=149.575
X=6.492 Y=9.863 Z=149.185
X=6.171 Y=9.561 Z=149.275
X=5.516 Y=9.229 Z=149.504
X=5.585 Y=7.911 Z=149.886
X=5.646 Y=5.816 Z=150.525
X=5.811 Y=4.934 Z=151.010
X=5.788 Y=4.668 Z=151.293
X=5.355 Y=5.508 Z=151.803
X=4.460 Y=8.110 Z=153.148
X=2.300 Y=11.299 Z=155.079
X=-0.853 Y=11.125 Z=156.956
X=-3.698 Y=8.482 Z=158.889
X=-5.770 Y=6.277 Z=159.644
X=-7.167 Y=4.764 Z=160.119
X=-7.635 Y=4.342 Z=160.288
X=-8.054 Y=3.909 Z=160.468
X=-8.063 Y=3.490 Z=160.485
X=-7.883 Y=3.974 Z=160.391
X=-7.044 Y=8.313 Z=160.189
X=-6.156 Y=17.855 Z=159.290
X=-5.659 Y=32.202 Z=158.938
X=-5.206 Y=43.857 Z=160.351
X=-4.095 Y=49.490 Z=160.836
X=-2.685 Y=49.173 Z=160.403
X=0.745 Y=47.424 Z=159.324
X=4.351 Y=45.679 Z=158.458
X=7.616 Y=43.952 Z=157.294
X=9.745 Y=41.946 Z=155.372
X=11.439 Y=40.057 Z=152.825
X=12.139 Y=36.365 Z=151.110
X=13.176 Y=29.621 Z=150.085
X=15.200 Y=22.667 Z=149.790
X=16.134 Y=17.043 Z=149.376
X=16.239 Y=14.865 Z=149.465
X=15.708 Y=15.122 Z=149.592
X=15.431 Y=16.472 Z=149.829
X=15.507 Y=17.602 Z=149.880
X=15.643 Y=18.192 Z=150.024
X=15.691 Y=18.016 Z=150.093
X=14.658 Y=16.672 Z=150.256
X=13.656 Y=15.055 Z=150.404
X=13.422 Y=13.620 Z=150.313
X=13.522 Y=12.790 Z=150.200
X=13.790 Y=13.096 Z=150.347
X=14.376 Y=15.664 Z=151.105
X=14.181 Y=18.358 Z=151.794
X=14.066 Y=20.159 Z=152.202
X=14.019 Y=21.003 Z=152.279
X=14.056 Y=21.820 Z=152.286
X=14.477 Y=22.627 Z=152.109
