X=4.803 Y=-1.026 Z=155.029
X=1.480 Y=-5.462 Z=155.715
X=-1.586 Y=-4.546 Z=157.282
X=-2.927 Y=-1.676 Z=158.710
X=-3.899 Y=1.048 Z=160.003
X=-4.090 Y=2.781 Z=160.058
X=-4.201 Y=3.562 Z=159.330
X=-4.019 Y=3.929 Z=159.193
X=-3.631 Y=4.474 Z=158.063
X=-3.248 Y=4.704 Z=157.834
X=-2.991 Y=4.797 Z=158.167
X=-2.831 Y=4.789 Z=158.400
X=-2.618 Y=4.652 Z=158.557
X=-2.320 Y=4.333 Z=158.832
X=-2.141 Y=4.167 Z=159.046
X=-1.736 Y=3.360 Z=159.017
X=-1.103 Y=2.892 Z=158.904
X=-0.816 Y=2.837 Z=158.791
X=-0.777 Y=2.345 Z=158.840
X=-0.106 Y=-1.445 Z=158.436
X=0.796 Y=-9.673 Z=157.672
X=1.470 Y=-21.493 Z=158.075
X=2.237 Y=-30.875 Z=159.018
X=2.458 Y=-35.465 Z=158.398
X=4.578 Y=-35.074 Z=157.527
X=9.586 Y=-28.140 Z=155.232
X=11.249 Y=-21.117 Z=154.144
X=11.414 Y=-14.856 Z=153.944
X=9.822 Y=-12.855 Z=154.009
X=8.158 Y=-13.436 Z=153.896
X=5.582 Y=-14.458 Z=154.249
X=1.369 Y=-15.297 Z=155.285
X=-1.139 Y=-14.914 Z=156.630
X=-2.272 Y=-13.613 Z=157.416
X=-2.923 Y=-12.616 Z=158.186
X=-3.598 Y=-11.826 Z=158.674
X=-4.773 Y=-10.852 Z=158.561
X=-5.853 Y=-9.859 Z=157.999
X=-6.900 Y=-9.241 Z=157.470
X=-7.608 Y=-8.732 Z=156.675
X=-7.642 Y=-8.536 Z=156.655
X=-7.376 Y=-8.293 Z=156.702
X=-6.413 Y=-8.403 Z=157.021
X=-5.021 Y=-9.078 Z=157.371
X=-2.613 Y=-10.583 Z=156.521
X=-0.547 Y=-11.783 Z=155.694
X=1.905 Y=-12.989 Z=154.798
X=3.735 Y=-12.619 Z=153.761
X=3.890 Y=-6.948 Z=153.465
X=3.003 Y=3.342 Z=153.773
X=2.546 Y=12.797 Z=154.492
X=2.603 Y=15.985 Z=154.356
X=2.515 Y=17.307 Z=155.191
X=2.266 Y=17.846 Z=155.992
X=1.138 Y=18.488 Z=157.460
X=-1.062 Y=18.512 Z=159.024
X=-2.995 Y=18.071 Z=159.919
X=-4.087 Y=17.629 Z=160.291
X=-4.267 Y=17.153 Z=160.176
X=-2.611 Y=15.959 Z=159.223
X=1.573 Y=13.225 Z=158.232
X=5.649 Y=8.196 Z=157.337
X=7.348 Y=1.248 Z=156.366
X=5.376 Y=-3.134 Z=155.746
X=1.209 Y=-2.187 Z=156.241
X=-2.105 Y=0.584 Z=156.704
X=-4.870 Y=1.975 Z=157.488
X=-6.565 Y=2.366 Z=157.646
X=-7.789 Y=2.362 Z=158.103
X=-7.783 Y=1.747 Z=158.157
X=-6.694 Y=-0.467 Z=157.702
X=-4.807 Y=-6.257 Z=157.108
X=-3.353 Y=-16.240 Z=155.306
X=-2.541 Y=-27.823 Z=155.845
X=-1.470 Y=-35.020 Z=156.253
X=0.050 Y=-36.759 Z=155.658
X=2.781 Y=-32.944 Z=155.320
X=4.473 Y=-27.535 Z=154.312
X=4.920 Y=-23.668 Z=153.434
X=4.698 Y=-22.706 Z=153.309
X=4.316 Y=-21.950 Z=153.003
X=3.193 Y=-19.378 Z=152.984
X=2.945 Y=-14.000 Z=152.306
X=3.861 Y=-4.474 Z=151.514
X=6.216 Y=5.756 Z=150.909
X=8.826 Y=11.148 Z=151.005
X=11.083 Y=13.584 Z=151.289
X=12.931 Y=14.975 Z=151.073
X=13.003 Y=16.053 Z=151.208
X=12.130 Y=16.716 Z=151.493
X=12.326 Y=17.571 Z=150.385
X=10.435 Y=17.666 Z=149.462
X=5.710 Y=16.048 Z=150.895
X=0.064 Y=9.671 Z=153.566
X=-4.942 Y=-0.363 Z=156.170
X=-9.545 Y=-6.616 Z=156.258
X=-14.222 Y=-9.314 Z=158.763
X=-17.552 Y=-9.801 Z=160.927
X=-18.417 Y=-8.860 Z=161.346
X=-16.848 Y=-7.674 Z=157.542
X=-15.184 Y=-6.392 Z=153.591
X=-11.942 Y=-3.575 Z=151.901
X=-7.087 Y=1.241 Z=150.656
X=-0.730 Y=6.845 Z=150.385
X=3.676 Y=10.377 Z=149.943
X=4.482 Y=10.488 Z=149.794
X=3.374 Y=8.233 Z=150.395
X=2.110 Y=6.207 Z=151.011
X=-0.638 Y=4.827 Z=151.579
X=-4.200 Y=3.220 Z=151.772
X=-8.368 Y=3.606 Z=152.005
X=-13.027 Y=4.304 Z=153.427
X=-19.120 Y=6.351 Z=155.915
X=-23.895 Y=10.606 Z=158.501
X=-26.526 Y=14.240 Z=159.170
X=-28.055 Y=13.354 Z=159.342
X=-27.927 Y=10.850 Z=159.580
X=-26.929 Y=8.585 Z=159.596
X=-26.172 Y=6.903 Z=159.309
X=-25.855 Y=5.630 Z=159.056
X=-25.159 Y=4.703 Z=158.838
X=-24.406 Y=3.807 Z=158.631
X=-23.768 Y=2.679 Z=158.553
X=-22.992 Y=2.146 Z=157.910
X=-22.309 Y=2.233 Z=157.800
X=-21.618 Y=2.605 Z=158.129
X=-21.371 Y=2.782 Z=158.495
X=-21.113 Y=2.806 Z=158.500
X=-20.777 Y=2.766 Z=158.412
X=-20.294 Y=2.951 Z=158.217
X=-19.580 Y=6.123 Z=157.957
X=-17.908 Y=13.402 Z=157.693
X=-16.333 Y=23.516 Z=158.136
X=-14.973 Y=31.951 Z=159.127
X=-13.426 Y=36.213 Z=159.199
X=-11.774 Y=37.443 Z=159.256
X=-10.714 Y=37.997 Z=159.251
X=-10.571 Y=38.468 Z=159.676
X=-11.036 Y=38.512 Z=160.118
X=-11.882 Y=38.902 Z=160.190
X=-13.084 Y=39.674 Z=160.067
X=-13.264 Y=39.157 Z=159.968
X=-13.002 Y=34.283 Z=159.920
X=-12.168 Y=27.633 Z=159.763
X=-10.779 Y=21.927 Z=159.122
X=-10.897 Y=17.353 Z=159.397
X=-11.986 Y=14.629 Z=158.819
X=-13.085 Y=13.573 Z=158.599
X=-13.488 Y=13.059 Z=158.430
X=-13.700 Y=13.207 Z=158.135
X=-13.888 Y=13.834 Z=158.153
X=-13.849 Y=14.911 Z=158.031
X=-13.354 Y=17.804 Z=157.793
X=-12.562 Y=24.836 Z=157.444
X=-11.557 Y=36.259 Z=156.809
X=-10.987 Y=48.743 Z=158.785
X=-10.310 Y=56.253 Z=159.187
X=-8.473 Y=58.935 Z=158.779
X=-5.282 Y=59.269 Z=158.903
X=-0.016 Y=57.635 Z=157.405
X=2.775 Y=55.168 Z=152.972
X=3.722 Y=53.234 Z=150.738
X=3.233 Y=50.310 Z=150.006
X=2.375 Y=45.006 Z=149.861
X=1.873 Y=37.493 Z=149.880
X=1.589 Y=28.110 Z=149.606
X=0.404 Y=21.459 Z=149.601
X=-0.443 Y=18.557 Z=150.036
X=-1.583 Y=19.593 Z=151.012
X=-0.976 Y=21.350 Z=152.332
X=1.866 Y=22.290 Z=152.783
X=3.610 Y=23.024 Z=152.714
X=3.893 Y=24.184 Z=152.658
X=4.030 Y=24.916 Z=152.669
X=4.234 Y=25.292 Z=152.603
X=4.408 Y=25.375 Z=151.573
X=3.378 Y=21.973 Z=151.025
X=2.894 Y=15.583 Z=150.111
X=3.090 Y=9.347 Z=149.295
X=2.435 Y=7.354 Z=149.450
X=1.071 Y=7.343 Z=149.961
X=-0.504 Y=8.152 Z=150.371
X=-1.213 Y=8.895 Z=150.507
X=-1.548 Y=9.619 Z=150.555
X=-1.696 Y=10.026 Z=150.532
X=-1.484 Y=10.148 Z=150.484
X=-0.795 Y=9.598 Z=150.324
X=-0.042 Y=8.035 Z=150.141
X=0.668 Y=6.047 Z=149.997
X=0.765 Y=4.756 Z=149.861
X=0.602 Y=4.541 Z=149.817
X=0.121 Y=3.968 Z=150.026
X=-1.580 Y=3.607 Z=150.725
X=-4.776 Y=4.998 Z=153.091
X=-8.716 Y=7.611 Z=155.873
X=-12.195 Y=11.385 Z=157.762
X=-13.816 Y=13.867 Z=158.868
X=-14.562 Y=15.230 Z=159.522
X=-15.131 Y=15.584 Z=160.086
X=-15.447 Y=15.445 Z=160.250
X=-15.008 Y=13.952 Z=160.190
X=-14.226 Y=10.305 Z=159.872
X=-13.218 Y=3.087 Z=158.615
X=-12.808 Y=-9.246 Z=158.051
X=-12.814 Y=-21.986 Z=159.304
X=-12.656 Y=-27.988 Z=159.888
X=-11.644 Y=-28.710 Z=159.704
X=-7.603 Y=-26.181 Z=158.543
X=-3.822 Y=-20.452 Z=156.730
X=-2.406 Y=-15.310 Z=155.126
X=-2.371 Y=-13.853 Z=153.445
X=-2.068 Y=-14.220 Z=151.629
X=-2.040 Y=-12.377 Z=151.175
X=-0.975 Y=-8.424 Z=150.984
X=1.132 Y=-3.062 Z=150.495
X=2.742 Y=1.930 Z=149.850
X=2.895 Y=5.252 Z=149.767
X=3.046 Y=3.764 Z=149.639
X=3.452 Y=0.002 Z=149.396
X=3.912 Y=-2.085 Z=149.422
X=4.548 Y=-3.683 Z=149.955
X=4.745 Y=-4.353 Z=151.130
X=4.219 Y=-4.247 Z=152.732
X=4.203 Y=-3.017 Z=155.932
