X=13.496 Y=-4.767 Z=149.064
X=15.773 Y=-3.557 Z=149.337
X=20.641 Y=-0.694 Z=149.931
X=25.371 Y=0.616 Z=149.332
X=27.859 Y=0.871 Z=148.917
X=29.241 Y=1.341 Z=148.683
X=28.999 Y=1.850 Z=148.818
X=26.869 Y=2.214 Z=149.547
X=24.423 Y=2.468 Z=150.430
X=21.599 Y=3.098 Z=151.253
X=18.696 Y=4.176 Z=151.301
X=15.763 Y=6.096 Z=151.242
X=14.910 Y=7.350 Z=151.348
X=15.110 Y=8.411 Z=151.234
X=16.243 Y=8.753 Z=151.401
X=17.535 Y=8.648 Z=151.524
X=18.467 Y=8.079 Z=151.513
X=19.635 Y=6.912 Z=151.480
X=20.915 Y=4.865 Z=151.569
X=22.066 Y=2.863 Z=151.678
X=22.641 Y=1.015 Z=151.589
X=22.616 Y=0.585 Z=151.612
X=23.125 Y=-0.131 Z=151.599
X=24.112 Y=-0.282 Z=151.269
X=24.536 Y=0.345 Z=151.162
X=24.017 Y=1.404 Z=151.164
X=22.009 Y=2.383 Z=151.572
X=19.195 Y=0.646 Z=151.525
X=14.643 Y=-2.217 Z=152.929
X=8.241 Y=-4.619 Z=154.567
X=1.132 Y=-7.354 Z=156.131
X=-4.866 Y=-11.031 Z=157.540
X=-9.569 Y=-11.854 Z=158.708
X=-12.628 Y=-9.957 Z=159.558
X=-13.185 Y=-7.128 Z=160.694
X=-12.687 Y=-4.711 Z=161.811
X=-12.166 Y=-2.516 Z=163.848
X=-11.650 Y=-2.008 Z=163.683
X=-11.531 Y=-2.190 Z=162.870
X=-11.395 Y=-3.179 Z=161.061
X=-13.470 Y=-4.786 Z=159.360
X=-11.686 Y=-5.663 Z=156.408
X=-11.341 Y=-6.438 Z=154.430
X=-12.173 Y=-6.948 Z=156.051
X=-11.958 Y=-6.976 Z=157.825
X=-12.084 Y=-6.464 Z=158.840
X=-12.220 Y=-6.236 Z=158.813
X=-12.186 Y=-6.190 Z=158.652
X=-12.208 Y=-6.216 Z=158.531
X=-12.237 Y=-6.252 Z=158.382
X=-12.157 Y=-6.499 Z=158.317
X=-12.062 Y=-6.739 Z=158.285
X=-11.904 Y=-6.841 Z=158.432
X=-11.889 Y=-6.972 Z=158.412
X=-11.917 Y=-7.217 Z=158.433
X=-11.816 Y=-7.302 Z=158.498
X=-11.389 Y=-7.244 Z=158.329
X=-7.297 Y=-6.270 Z=157.091
X=-1.073 Y=-0.737 Z=155.679
X=-0.115 Y=3.110 Z=154.510
X=-0.346 Y=4.361 Z=153.041
X=0.468 Y=4.978 Z=151.762
X=4.547 Y=7.678 Z=150.537
X=12.568 Y=13.761 Z=149.427
X=20.836 Y=20.264 Z=150.123
X=27.964 Y=23.242 Z=150.798
X=33.355 Y=22.889 Z=150.774
X=37.003 Y=21.191 Z=150.838
X=38.280 Y=20.377 Z=150.493
X=38.242 Y=20.036 Z=150.619
X=37.282 Y=20.262 Z=150.940
X=36.569 Y=21.124 Z=151.081
X=35.489 Y=22.634 Z=151.323
X=34.244 Y=24.198 Z=151.552
X=33.458 Y=24.510 Z=151.155
X=30.819 Y=21.994 Z=151.583
X=27.984 Y=17.964 Z=152.508
X=26.419 Y=14.230 Z=152.251
X=26.104 Y=11.880 Z=152.464
X=26.349 Y=11.398 Z=152.618
X=26.791 Y=11.816 Z=152.884
X=27.206 Y=13.454 Z=153.061
X=27.871 Y=16.027 Z=153.345
X=28.397 Y=19.096 Z=153.608
X=28.650 Y=21.107 Z=153.867
X=29.291 Y=22.603 Z=154.276
X=30.475 Y=23.843 Z=154.318
X=31.378 Y=24.832 Z=154.079
X=31.890 Y=25.573 Z=154.015
X=32.275 Y=25.953 Z=153.886
X=32.264 Y=26.436 Z=153.878
X=32.276 Y=26.884 Z=153.851
X=32.171 Y=27.246 Z=153.752
X=31.742 Y=27.541 Z=153.648
X=31.291 Y=27.775 Z=153.650
X=30.725 Y=28.113 Z=153.656
X=30.336 Y=28.444 Z=153.660
X=30.253 Y=28.653 Z=153.499
X=30.191 Y=28.787 Z=153.394
X=30.181 Y=28.844 Z=153.401
X=30.199 Y=28.854 Z=153.380
X=30.241 Y=28.889 Z=153.405
X=30.259 Y=28.853 Z=153.420
X=30.275 Y=28.817 Z=153.422
X=30.329 Y=28.248 Z=153.480
X=30.424 Y=26.703 Z=153.536
X=30.651 Y=24.598 Z=153.622
X=31.167 Y=21.535 Z=153.680
X=31.767 Y=18.986 Z=153.357
X=31.964 Y=17.450 Z=153.070
X=31.959 Y=17.289 Z=152.533
X=31.993 Y=18.831 Z=152.419
X=32.136 Y=19.638 Z=152.366
X=32.375 Y=20.351 Z=152.107
X=33.689 Y=20.534 Z=151.926
X=35.005 Y=20.968 Z=151.675
X=35.567 Y=22.747 Z=151.561
X=34.281 Y=22.650 Z=151.309
X=29.832 Y=20.890 Z=152.060
X=22.887 Y=18.017 Z=154.135
X=16.610 Y=15.157 Z=155.645
X=12.166 Y=12.247 Z=155.923
X=9.104 Y=11.076 Z=157.065
X=7.239 Y=10.867 Z=158.462
X=5.728 Y=10.941 Z=159.910
X=4.622 Y=11.122 Z=160.845
X=3.738 Y=11.466 Z=161.461
X=3.347 Y=12.067 Z=161.543
X=2.879 Y=12.690 Z=161.020
X=2.322 Y=13.247 Z=160.710
X=1.558 Y=13.235 Z=160.557
X=0.619 Y=12.259 Z=161.369
X=-1.043 Y=11.402 Z=162.653
X=-3.480 Y=11.540 Z=163.282
