X=18.438 Y=-36.529 Z=177.478
X=18.438 Y=-36.529 Z=177.478
X=18.656 Y=-36.056 Z=177.550
X=18.452 Y=-35.478 Z=177.620
X=18.452 Y=-35.478 Z=177.620
X=17.938 Y=-34.887 Z=177.792
X=17.938 Y=-34.887 Z=177.792
X=17.729 Y=-34.390 Z=177.763
X=17.497 Y=-34.042 Z=177.811
X=17.497 Y=-34.042 Z=177.811
X=17.390 Y=-34.233 Z=177.792
X=17.390 Y=-34.233 Z=177.792
X=17.470 Y=-34.707 Z=177.856
X=17.487 Y=-34.837 Z=177.799
X=17.487 Y=-34.837 Z=177.799
X=17.493 Y=-35.044 Z=177.800
X=17.493 Y=-35.044 Z=177.800
X=17.499 Y=-35.144 Z=177.805
X=17.524 Y=-35.249 Z=177.792
X=17.529 Y=-35.297 Z=177.801
X=17.536 Y=-35.305 Z=177.799
X=17.490 Y=-35.360 Z=177.799
X=17.410 Y=-35.372 Z=177.856
X=17.327 Y=-35.374 Z=177.881
X=17.173 Y=-35.363 Z=177.936
X=17.091 Y=-35.250 Z=177.959
X=16.943 Y=-35.074 Z=177.974
X=16.200 Y=-34.560 Z=178.089
X=16.200 Y=-34.560 Z=178.089
X=15.994 Y=-34.522 Z=178.064
X=15.994 Y=-34.522 Z=178.064
X=15.998 Y=-34.503 Z=178.090
X=16.072 Y=-34.514 Z=178.076
X=16.072 Y=-34.514 Z=178.076
X=16.346 Y=-34.804 Z=177.985
X=16.346 Y=-34.804 Z=177.985
X=16.364 Y=-35.003 Z=177.984
X=16.326 Y=-35.093 Z=177.966
X=16.326 Y=-35.093 Z=177.966
X=16.141 Y=-35.028 Z=178.075
X=16.141 Y=-35.028 Z=178.075
X=15.656 Y=-34.564 Z=178.208
X=15.611 Y=-34.199 Z=178.220
X=15.611 Y=-34.199 Z=178.220
X=15.594 Y=-34.015 Z=178.229
X=15.594 Y=-34.015 Z=178.229
X=15.570 Y=-34.002 Z=178.188
X=15.554 Y=-33.921 Z=178.193
X=15.554 Y=-33.921 Z=178.193
X=15.543 Y=-33.904 Z=178.151
X=15.543 Y=-33.904 Z=178.151
X=15.546 Y=-34.170 Z=178.167
X=15.130 Y=-34.410 Z=178.346
X=15.130 Y=-34.410 Z=178.346
X=14.955 Y=-34.691 Z=178.369
X=14.955 Y=-34.691 Z=178.369
X=15.063 Y=-35.166 Z=178.370
X=15.259 Y=-35.893 Z=178.235
X=15.259 Y=-35.893 Z=178.235
X=15.360 Y=-36.139 Z=178.231
X=15.360 Y=-36.139 Z=178.231
X=15.342 Y=-36.108 Z=178.196
X=15.319 Y=-35.988 Z=178.199
X=15.319 Y=-35.988 Z=178.199
X=14.969 Y=-35.706 Z=178.254
X=14.969 Y=-35.706 Z=178.254
X=14.841 Y=-35.554 Z=178.246
X=14.853 Y=-35.505 Z=178.253
X=14.853 Y=-35.505 Z=178.253
X=14.876 Y=-35.513 Z=178.261
X=14.876 Y=-35.513 Z=178.261
X=14.915 Y=-35.592 Z=178.251
X=15.020 Y=-36.176 Z=178.220
X=15.020 Y=-36.176 Z=178.220
X=14.997 Y=-36.560 Z=178.219
X=14.997 Y=-36.560 Z=178.219
X=15.150 Y=-37.026 Z=178.160
X=18.820 Y=-38.373 Z=172.894
X=18.820 Y=-38.373 Z=172.894
X=22.449 Y=-32.625 Z=168.626
X=22.449 Y=-32.625 Z=168.626
X=23.334 Y=-24.828 Z=169.032
X=23.959 Y=-13.775 Z=168.794
X=22.534 Y=-6.828 Z=168.949
X=20.663 Y=-2.081 Z=168.734
X=19.913 Y=-3.652 Z=168.578
X=22.674 Y=-7.022 Z=168.689
X=23.300 Y=-8.536 Z=167.255
X=19.885 Y=-10.479 Z=165.474
X=13.934 Y=-13.154 Z=163.014
